Wall time,Step,Value
1534422858.6057382,0,0.7016069293022156
1534422873.2327242,1,0.8597607016563416
1534422887.1235664,2,0.8900139331817627
1534422901.079793,3,0.9053345918655396
1534422915.0722435,4,0.9167852997779846
1534422929.0040457,5,0.9247616529464722
1534422942.9134576,6,0.9293787479400635
1534422956.860678,7,0.9324632287025452
1534422970.8832293,8,0.9363548159599304
1534422984.857716,9,0.9390426278114319
1534422998.8571963,10,0.9402635097503662
1534423012.9302483,11,0.9414511919021606
1534423026.8292284,12,0.9428333044052124
1534423040.7723296,13,0.9456449151039124
1534423054.8300319,14,0.9458441138267517
1534423068.9275348,15,0.9451894760131836
1534423083.0623538,16,0.9459103345870972
1534423097.1317294,17,0.9473586082458496
1534423111.1559713,18,0.9472185373306274
1534423125.189616,19,0.9490124583244324
1534423139.2224903,20,0.9489400386810303
1534423153.233884,21,0.9488722681999207
1534423167.225879,22,0.9495800733566284
1534423181.234926,23,0.9514542818069458
1534423195.1855047,24,0.951690673828125
1534423209.167122,25,0.9485512971878052
1534423223.1539786,26,0.9500359892845154
1534423237.1549628,27,0.9516053795814514
1534423251.1967065,28,0.9505926370620728
1534423265.2292645,29,0.9503237009048462
1534423279.2395163,30,0.9524606466293335
1534423293.1635773,31,0.9512619972229004
1534423307.1818352,32,0.9513536691665649
1534423321.1877785,33,0.9506537914276123
1534423335.2601452,34,0.9529078006744385
1534423349.2949886,35,0.9516334533691406
1534423363.3001678,36,0.951350212097168
1534423377.358013,37,0.9516232013702393
1534423391.395184,38,0.9489191770553589
1534423405.4415326,39,0.9514020681381226
1534423419.5251648,40,0.9515289664268494
1534423433.5296876,41,0.9523322582244873
1534423447.5589998,42,0.9516780972480774
1534423461.5709782,43,0.9520466327667236
1534423475.599091,44,0.9502710700035095
1534423489.6501687,45,0.9512932896614075
1534423503.686455,46,0.9511660933494568
1534423517.7078476,47,0.9521127343177795
1534423531.7426915,48,0.9503417015075684
1534423545.7221382,49,0.9509912133216858
1534423559.5949128,50,0.9497307538986206
1534423573.6829998,51,0.9479930996894836
1534423587.677355,52,0.9499082565307617
1534423601.7652936,53,0.9505263566970825
1534423615.843748,54,0.9484560489654541
1534423629.8553226,55,0.9500600099563599
1534423643.8941286,56,0.9489403963088989
1534423657.9417357,57,0.9487344026565552
1534423671.9538193,58,0.950120747089386
1534423685.9866734,59,0.9476085901260376
1534423700.005809,60,0.9494996070861816
1534423713.9893708,61,0.9485307335853577
1534423727.9959013,62,0.9498664736747742
1534423742.0324707,63,0.9482675790786743
1534423756.0731645,64,0.9485864043235779
1534423770.1594517,65,0.9480785727500916
1534423784.2706966,66,0.9479297995567322
1534423798.321026,67,0.9467480182647705
1534423812.2715518,68,0.9471043944358826
1534423826.2750065,69,0.9456790089607239
1534423840.2998507,70,0.9462779760360718
1534423854.2343845,71,0.9481463432312012
1534423868.3345964,72,0.9445086717605591
1534423882.3927207,73,0.944545567035675
1534423896.452829,74,0.9475555419921875
1534423910.5147274,75,0.945304274559021
1534423924.4731073,76,0.9479465484619141
1534423938.4725397,77,0.9458733797073364
1534423952.407211,78,0.9471957087516785
1534423966.347907,79,0.944787859916687
1534423980.3002326,80,0.9457076191902161
1534423994.229234,81,0.9461817145347595
1534424008.1447275,82,0.9469991326332092
1534424022.097208,83,0.9472269415855408
1534424036.0202672,84,0.9455983638763428
1534424050.0006673,85,0.9452093243598938
1534424063.9285443,86,0.9466003775596619
1534424077.819545,87,0.9455190896987915
1534424091.676835,88,0.945500910282135
